Difficulty,Word
Beginner,Cat
Beginner,Dog
Beginner,Sun
Beginner,Hat
Beginner,Run
Beginner,Big
Beginner,Cup
Beginner,Red
Beginner,Pen
Beginner,Bed
Intermediate,Flower
Intermediate,Bicycle
Intermediate,Elephant
Intermediate,Chocolate
Intermediate,Mountain
Intermediate,Butterfly
Intermediate,Rainbow
Intermediate,Symphony
Intermediate,Delicious
Intermediate,Universe
Advanced,Accommodation
Advanced,Entrepreneur
Advanced,Serendipity
Advanced,Pseudonym
Advanced,Resilience
Advanced,Quizzaciously
Advanced,Miscellaneous
Advanced,Eccentricity
Advanced,Inconceivable
Advanced,Deoxyribonucleic
Expert,Hippopotomonstrosesquipedaliophobia
Expert,Supercalifragilisticexpialidocious
Expert,Antiestablishmentarianism
Expert,Pneumonoultramicroscopicsilicovolcanoconiosis
Expert,Parastratiosphecomyiastratiosphecomyioides
Expert,Floccinaucinihilipilification
Expert,Antitransubstantiationalistically
Expert,Microspectrophotometrically
Expert,Indistinguishableness
Expert,Overintellectualization
Impossible,Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Impossible,Pneumonoultramicroscopicsilicovolcanoconioses
Impossible,Dichlorodiphenyltrichloroethane
Impossible,Hippopotomonstrosesquipedalian
Impossible,Floccinaucinihilipilificate
Impossible,Unquestionableness
Impossible,Antitotalitarianism
Impossible,Microspectrophotometry
Impossible,Incomprehensibility
Impossible,Supercalifragilisticexpialidociously
